"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
Lycopodiella inundata,"(L.) Holub","",inundated bog clubmoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Lycopodielloideae,,Lycopodiella,Lycopodiella inundata,,,,native,S5 (2019),,1973-08-07,"Thomas M.C. Taylor",UBC,V146649,,2024-08-05,"dani_t",iNaturalist,234076539,,32,confirmed,observed,"",77913,VAS
Lycopodium clavatum,"L.","",stag's-horn clubmoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Lycopodioideae,,Lycopodium,Lycopodium clavatum,,,,native,S5 (2015),,1995-07-16,"Straley, Gerald",USCH,,,2024-10-12,"Ben Keen",iNaturalist,247032434,,279,confirmed,observed,"",77914,VAS
Lycopus europaeus,"L.","",European water-horehound,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,,Lycopus,Lycopus europaeus,,,,native,S5 (2019),,2021-08-29,"Ben Keen",iNaturalist,92930111,,2022-08-24,"Chloe Shore",iNaturalist,132442126,,4,new 2021,observed,"",133036,VAS
Lycopus uniflorus,"Michx.","",northern bugleweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,,Lycopus,Lycopus uniflorus,,,,native,S5 (2015),,1915-08-01,"Fred Perry",UBC,V49211,,2024-09-19,"Ben Keen",iNaturalist,242801236,,41,confirmed,observed,"",77915,VAS
Lysichiton americanus,"Hultén & H.St.John","",western skunk cabbage,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Orontioideae,,Lysichiton,Lysichiton americanus,,,,native,S5 (2019),,1996-04-25,"J. Burke Korol",iNaturalist,9450150,,2024-10-06,"Heather Schneider",iNaturalist,246075167,,626,confirmed,observed,"",48537,VAS
Lysimachia borealis,"Rafinesque) U. Manns & Anderberg","",starflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Lysimachia,Lysimachia borealis,,,,native,S4S5 (2015),,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:323,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:323,,1,new 2020,unobserved,"Reported as: Trientalis borealis ssp. latifolia",204174,VAS
Lysimachia europaea,"(L.) U.Manns & Anderb.","",Arctic starflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Lysimachia,Lysimachia europaea,,,,native,S4S5 (2015),,1915-06-13,"F. Perry",UBC,V35182,,2024-07-28,"arial",iNaturalist,232427505,,45,confirmed,observed,"",716947,VAS
Lysimachia latifolia,"(Hook.) Cholewa","",western star flower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Lysimachia,Lysimachia latifolia,,,,native,S4S5 (2015),,2012-05-21,"judith holm",iNaturalist,32681744,,2024-10-06,"Gavin Petersen",iNaturalist,246005118,,499,confirmed,observed,"",496537,VAS
Lysimachia maritima,"(L.) Galasso, Banfi & Soldano","",sea milkwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Lysimachia,Lysimachia maritima,,,,native,S5 (2001),,2011-06-13,"grivesolitaire",iNaturalist,151145822,,2024-09-29,"laiet17",iNaturalist,244836183,,79,confirmed,observed,"",204175,VAS
Lysimachia thyrsiflora,"L.","",tufted loosestrife,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Primulaceae,Myrsinoideae,,Lysimachia,Lysimachia thyrsiflora,,,,native,S4S5 (2015),,2015-05-31,"judith holm",iNaturalist,4395046,,2023-06-18,"jocl",iNaturalist,168170637,,39,confirmed,observed,"",77917,VAS
Madia glomerata,"Hook.","",clustered tarweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Madia,Madia glomerata,,,,native,S5 (2019),,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:328,,2022-09-16,"Matt M",iNaturalist,135839653,,3,new 2020,observed,"",77923,VAS
